epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,0.30187,0.88518,0.92349,0.91784,0.92922,0.20119,0.91315,0.94314,0.89952,0.99121
2,0.18855,0.92962,0.95298,0.94955,0.95644,0.12482,0.94764,0.96316,0.98529,0.942
3,0.15569,0.94225,0.96153,0.9555,0.96763,0.12916,0.95402,0.96864,0.96028,0.97715
4,0.14481,0.94879,0.96579,0.96245,0.96915,0.11283,0.95275,0.96729,0.97331,0.96134
5,0.13327,0.95082,0.96711,0.96478,0.96945,0.10756,0.96296,0.97436,0.98043,0.96837
6,0.10904,0.95827,0.97211,0.96904,0.9752,0.12225,0.94764,0.96481,0.94295,0.9877
7,0.11157,0.96007,0.97327,0.97195,0.97459,0.11464,0.95658,0.96948,0.99083,0.94903
8,0.11538,0.96075,0.97371,0.97283,0.97459,0.11475,0.95785,0.97148,0.95578,0.9877
9,0.10887,0.96458,0.97626,0.97611,0.97641,0.08531,0.97446,0.98227,0.99106,0.97364
10,0.08852,0.96752,0.97821,0.9788,0.97762,0.10548,0.96296,0.9748,0.96392,0.98594
11,0.08661,0.96977,0.9797,0.98148,0.97792,0.08903,0.96296,0.97431,0.98214,0.96661
12,0.08342,0.97135,0.98081,0.98007,0.98155,0.10932,0.96552,0.97621,0.9788,0.97364
13,0.08304,0.9709,0.9805,0.98005,0.98094,0.08865,0.96807,0.97805,0.97719,0.97891
14,0.06908,0.97654,0.98428,0.98369,0.98488,0.1024,0.9719,0.98046,0.99102,0.97012
15,0.07853,0.9718,0.9811,0.98095,0.98125,0.08942,0.97063,0.97981,0.97895,0.98067
16,0.05938,0.9797,0.9864,0.98551,0.9873,0.14969,0.96041,0.97225,0.99088,0.95431
17,0.0584,0.97947,0.98625,0.9855,0.98699,0.12739,0.96807,0.97774,0.99097,0.96485
18,0.06491,0.97722,0.98472,0.98517,0.98427,0.09542,0.9719,0.98063,0.98236,0.97891
19,0.06114,0.98173,0.98774,0.98819,0.9873,0.12805,0.96679,0.97719,0.97548,0.97891
20,0.06116,0.9806,0.987,0.9867,0.9873,0.09522,0.96041,0.97259,0.97865,0.96661
21,0.05542,0.98128,0.98745,0.98701,0.9879,0.1178,0.96807,0.97817,0.97222,0.98418
22,0.04962,0.98263,0.98837,0.98703,0.98972,0.1177,0.97063,0.97974,0.98233,0.97715
23,0.04493,0.98443,0.98956,0.99031,0.98881,0.08574,0.9719,0.9808,0.974,0.9877
24,0.04861,0.9824,0.9882,0.9885,0.9879,0.11971,0.96807,0.9777,0.99275,0.96309
25,0.06946,0.98015,0.98668,0.98758,0.98578,0.09793,0.96935,0.97887,0.9806,0.97715
26,0.03624,0.98917,0.99274,0.99215,0.99335,0.11202,0.97573,0.98338,0.97909,0.9877
27,0.04601,0.98624,0.99078,0.98974,0.99183,0.12613,0.97063,0.97952,0.99278,0.96661
28,0.04451,0.98489,0.98986,0.99061,0.98911,0.13866,0.96935,0.97861,0.99277,0.96485
29,0.04448,0.98804,0.99199,0.99094,0.99304,0.1141,0.97573,0.98332,0.98246,0.98418
30,0.03601,0.98782,0.99183,0.99243,0.99123,0.09821,0.97446,0.98243,0.98243,0.98243
